#;Proyecto;Tipo;Tarea padre;Estado;Prioridad;Asunto;Autor;Asignado a;Actualizado;Categoría;Versión prevista;Fecha de inicio;Fecha fin;Tiempo estimado;Total de Tiempo Estimado;Tiempo dedicado;Tiempo total dedicado;% Realizado;Creado;Cerrada;Peticiones relacionadas;Área responsable;Privada;Etiquetas;Descripción
;CTB QA;Incidencias;;Nueva;Alta;CTB-XXX [DSK] <Resumen corto>;Carlos Arturo;;2025-12-26;;;2025-12-26;;;;0,00;0,00;0;2025-12-26;;;;No;@qa @e2e @ctb;"Historia de usuario:\n<descripcion funcional>\n\nTest Case Relacionado:\n<TC_ID>\n\nPasos para reproducir:\n1. <paso 1>\n2. <paso 2>\n3. <paso 3>\n\nResultado esperado:\n<esperado>\n\nResultado obtenido:\n<obtenido>\n\nLogs relevantes:\n- Timestamp: <YYYY-MM-DD HH:MM:SS>\n- Endpoint: <METHOD /path>\n- Status: <HTTP_CODE>\n- Trace/Exception: <error>\n- Request ID: <id>\n\nEvidencia:\n- Screenshot: <ruta o link>\n- Video: <ruta o link>\n- HAR/Network: <ruta o link>\n\nEntorno:\n<mcprod/staging>\nNavegadores:\n<Chrome/Firefox/Safari/iOS/Android>"
;CTB QA;Incidencias;;Nueva;Alta;CTB-001 [WEB/MOB] Enlaces internos /es/tickets/* devuelven 404;Carlos Arturo;;2025-12-26;;;2025-12-26;;;;0,00;0,00;0;2025-12-26;;;;No;@qa @e2e @ctb @links @desktop @ios @android;"Historia de usuario:\nNavegación desde la home hacia secciones informativas debe funcionar sin errores 404.\n\nTest Case Relacionado:\nHAIDA-SMOKE-002\n\nPasos para reproducir:\n1. Abrir https://mcprod.thisisbarcelona.com/es/\n2. Validar enlaces internos en home (HEAD/GET).\n\nResultado esperado:\nTodos los enlaces internos responden 200/30x válidos.\n\nResultado obtenido:\nSe detectan 404 en múltiples enlaces internos desde la home.\n\nLogs relevantes:\n- Timestamp: 2025-12-26 11:47:49\n- Endpoint: GET /es/tickets/visit-barcelona/\n- Status: 404\n- Endpoint: GET /es/tickets/tickets/\n- Status: 404\n- Endpoint: GET /es/tickets/professionals/\n- Status: 404\n- Endpoint: GET /es/tickets/barcelona-convention-bureau/\n- Status: 404\n- Endpoint: GET /es/tickets/quienes-somos/\n- Status: 404\n- Endpoint: GET /es/tickets/help/\n- Status: 404\n\nEvidencia:\n- Screenshot: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-smoke-Smoke-Health-67e88-internos-no-rotos-HEAD-GET--Desktop-Chrome/test-failed-1.png\n- Video: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-smoke-Smoke-Health-67e88-internos-no-rotos-HEAD-GET--Desktop-Chrome/video.webm\n- Trace: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-smoke-Smoke-Health-67e88-internos-no-rotos-HEAD-GET--Desktop-Chrome-retry1/trace.zip\n\nEntorno:\nmcprod\nNavegadores:\nDesktop Chrome, iPhone 14, Pixel 7"
;CTB QA;Incidencias;;Nueva;Media;CTB-002 [MOB] Imágenes no cargadas en home (placeholders/AEM);Carlos Arturo;;+34662652300;;;+34662652300;;;;0,00;0,00;0;+34662652300;;;;No;@qa @e2e @ctb @images @ios @android;"Historia de usuario:\nLa home debe cargar todas las imágenes sin placeholders ni errores de carga.\n\nTest Case Relacionado:\nHAIDA-SMOKE-001\n\nPasos para reproducir:\n1. Abrir https://mcprod.thisisbarcelona.com/es/ en mobile.\n2. Esperar a que carguen imágenes de la home.\n\nResultado esperado:\nTodas las imágenes cargan correctamente.\n\nResultado obtenido:\nVarias imágenes quedan sin cargar (placeholders y assets de AEM).\n\nLogs relevantes:\n- Timestamp: +34662652300:47:49\n- Endpoint: GET /media/catalog/product/placeholder/default/placeholdet-ctb_1.png\n- Status: 200 (pero imagen permanece sin cargar en DOM)\n- Endpoint: GET https://delivery-p147609-e1510548.adobeaemcloud.com/adobe/assets/urn:aaid:aem:df1c0fbd-b51f-451b-b623-3d487adec520\n- Status: error de carga\n- Endpoint: GET https://delivery-p147609-e1510548.adobeaemcloud.com/adobe/assets/urn:aaid:aem:4df5228b-23be-414b-baf0-91a4504c2339\n- Status: error de carga\n\nEvidencia:\n- Screenshot: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-smoke-Smoke-Health-78227-rga-sin-errores-y-estado-OK-iPhone-14/test-failed-1.png\n- Video: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-smoke-Smoke-Health-78227-rga-sin-errores-y-estado-OK-iPhone-14/video.webm\n- Trace: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-smoke-Smoke-Health-78227-rga-sin-errores-y-estado-OK-iPhone-14-retry1/trace.zip\n\nEntorno:\nmcprod\nNavegadores:\niPhone 14, Pixel 7"
;CTB QA;Incidencias;;Nueva;Alta;CTB-003 [WEB] Home no cumple WCAG AA (aria-required-attr, button-name);Carlos Arturo;;2025-12-26;;;2025-12-26;;;;0,00;0,00;0;2025-12-26;;;;No;@qa @a11y @b2c @desktop;"Historia de usuario:\nLa home debe cumplir WCAG AA basico.\n\nTest Case Relacionado:\nTC_HOME_011\n\nPasos para reproducir:\n1. Abrir https://mcprod.thisisbarcelona.com/es/\n2. Ejecutar Axe en home.\n\nResultado esperado:\nSin violaciones criticas de accesibilidad.\n\nResultado obtenido:\nSe detectan violaciones criticas: aria-required-attr y button-name.\n\nLogs relevantes:\n- Timestamp: 2025-12-26 12:33:19\n- Regla: aria-required-attr (combobox search sin aria-expanded/aria-controls)\n- Regla: button-name (boton sin texto accesible)\n\nEvidencia:\n- Screenshot: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-B2C--ce25b--Home-cumple-WCAG-AA-basico-Desktop-Chrome/test-failed-1.png\n- Video: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-B2C--ce25b--Home-cumple-WCAG-AA-basico-Desktop-Chrome/video.webm\n- Error Context: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-B2C--ce25b--Home-cumple-WCAG-AA-basico-Desktop-Chrome/error-context.md\n\nEntorno:\nmcprod\nNavegadores:\nDesktop Chrome"
;CTB QA;Incidencias;;Nueva;Media;CTB-004 [MOB] Buscador header no visible en iPhone;Carlos Arturo;;+34662652300;;;+34662652300;;;;0,00;0,00;0;+34662652300;;;;No;@qa @nav @b2c @ios;"Historia de usuario:\nLa busqueda desde el header debe ser usable en mobile.\n\nTest Case Relacionado:\nTC_NAV_002\n\nPasos para reproducir:\n1. Abrir https://mcprod.thisisbarcelona.com/es/ en iPhone.\n2. Intentar usar el buscador del header.\n\nResultado esperado:\nEl input de busqueda es visible y permite escribir.\n\nResultado obtenido:\nEl input existe en DOM pero no es visible/usable (timeout al intentar escribir).\n\nLogs relevantes:\n- Timestamp: +34662652300:33:19\n- Selector: input#search (type=search)\n- Error: element is not visible\n\nEvidencia:\n- Screenshot: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-B2C--9365d--header-devuelve-resultados-iPhone-14/test-failed-1.png\n- Video: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-B2C--9365d--header-devuelve-resultados-iPhone-14/video.webm\n- Error Context: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-B2C--9365d--header-devuelve-resultados-iPhone-14/error-context.md\n\nEntorno:\nmcprod\nNavegadores:\niPhone 14"
;CTB QA;Incidencias;;Nueva;Media;CTB-005 [MOB] Buscador header no visible en Android;Carlos Arturo;;2025-12-26;;;2025-12-26;;;;0,00;0,00;0;2025-12-26;;;;No;@qa @nav @b2c @android;"Historia de usuario:\nLa busqueda desde el header debe ser usable en Android.\n\nTest Case Relacionado:\nTC_NAV_002\n\nPasos para reproducir:\n1. Abrir https://mcprod.thisisbarcelona.com/es/ en Android.\n2. Intentar usar el buscador del header.\n\nResultado esperado:\nEl input de busqueda es visible y permite escribir.\n\nResultado obtenido:\nEl input existe en DOM pero no es visible/usable (timeout al intentar escribir).\n\nLogs relevantes:\n- Timestamp: 2025-12-26 12:55:48\n- Selector: input#search (type=search)\n- Error: element is not visible\n\nEvidencia:\n- Screenshot: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-B2C--9365d--header-devuelve-resultados-Pixel-7/test-failed-1.png\n- Video: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-B2C--9365d--header-devuelve-resultados-Pixel-7/video.webm\n- Error Context: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-B2C--9365d--header-devuelve-resultados-Pixel-7/error-context.md\n\nEntorno:\nmcprod\nNavegadores:\nPixel 7"
;CTB QA;Incidencias;;Nueva;Media;CTB-006 [WEB] Busqueda header no navega a resultados;Carlos Arturo;;2025-12-26;;;2025-12-26;;;;0,00;0,00;0;2025-12-26;;;;No;@qa @nav @b2c @desktop;"Historia de usuario:\nLa busqueda desde el header debe abrir resultados.\n\nTest Case Relacionado:\nTC_NAV_002\n\nPasos para reproducir:\n1. Abrir https://mcprod.thisisbarcelona.com/es/ en desktop.\n2. Escribir un termino en el buscador y enviar.\n\nResultado esperado:\nSe muestra pagina de resultados.\n\nResultado obtenido:\nLa URL no cambia y no se navega a pagina de resultados.\n\nLogs relevantes:\n- Timestamp: 2025-12-26 12:55:48\n- Accion: Enter en input#search\n- Resultado: URL permanece en /es/\n\nEvidencia:\n- Screenshot: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-B2C--9365d--header-devuelve-resultados-Desktop-Chrome/test-failed-1.png\n- Video: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-B2C--9365d--header-devuelve-resultados-Desktop-Chrome/video.webm\n- Error Context: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-B2C--9365d--header-devuelve-resultados-Desktop-Chrome/error-context.md\n\nEntorno:\nmcprod\nNavegadores:\nDesktop Chrome"
;CTB QA;Incidencias;;Nueva;Alta;CTB-007 [WEB] Home /es/ responde 404 en mcprod;Carlos Arturo;;2025-12-26;;;2025-12-26;;;;0,00;0,00;0;2025-12-26;;;;No;@qa @seo @b2c @desktop;"Historia de usuario:\nLa home debe responder 200 para SEO y navegacion.\n\nTest Case Relacionado:\nTC_HOME_001 / TC_HOME_010\n\nPasos para reproducir:\n1. Ejecutar GET https://mcprod.thisisbarcelona.com/es/\n\nResultado esperado:\nHTTP 200.\n\nResultado obtenido:\nHTTP 404.\n\nLogs relevantes:\n- Timestamp: 2025-12-26 13:25:16\n- Endpoint: GET /es/\n- Status: 404\n\nEvidencia:\n- Comando: curl -sS -o /dev/null -w '%{http_code}' https://mcprod.thisisbarcelona.com/es/\n\nEntorno:\nmcprod\nNavegadores:\nDesktop"
;CTB QA;Incidencias;;Nueva;Alta;CTB-008 [WEB/MOB] Oficinas no cumple WCAG AA (aria-required-children/attr/button-name);Carlos Arturo;;2025-12-26;;;2025-12-26;;;;0,00;0,00;0;2025-12-26;;;;No;@qa @a11y @oficinas @desktop @ios @android;"Historia de usuario:\nEl portal de oficinas debe cumplir WCAG AA basico.\n\nTest Case Relacionado:\nTC_OFI_A11Y_002\n\nPasos para reproducir:\n1. Abrir https://mcprod.thisisbarcelona.com/es/offices/\n2. Ejecutar Axe en la pagina.\n\nResultado esperado:\nSin violaciones criticas de accesibilidad.\n\nResultado obtenido:\nSe detectan violaciones criticas: aria-required-children (glider-dots) y aria-required-attr/button-name (input search y boton calendario).\n\nLogs relevantes:\n- Timestamp: 2025-12-26 13:59:18\n- Reglas: aria-required-children, aria-required-attr, button-name\n\nEvidencia:\n- Screenshot: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-Ofic-a12f1-cinas-cumple-WCAG-AA-basico-Desktop-Chrome/test-failed-1.png\n- Video: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-Ofic-a12f1-cinas-cumple-WCAG-AA-basico-Desktop-Chrome/video.webm\n\nEntorno:\nmcprod\nNavegadores:\nDesktop Chrome, iPhone 14, Pixel 7"
;CTB QA;Incidencias;;Nueva;Media;CTB-009 [WEB/MOB] PDP galeria no navegable (boton no visible);Carlos Arturo;;2025-12-26;;;2025-12-26;;;;0,00;0,00;0;2025-12-26;;;;No;@qa @pdp @b2c @desktop @ios;"Historia de usuario:\nLa galeria de imagenes en PDP debe permitir navegar.\n\nTest Case Relacionado:\nTC_PDP_002\n\nPasos para reproducir:\n1. Abrir un PDP desde PLP.\n2. Intentar avanzar en la galeria de imagenes.\n\nResultado esperado:\nEl control siguiente es visible y permite cambiar de imagen.\n\nResultado obtenido:\nEl control siguiente no es visible; el click falla por elemento oculto.\n\nLogs relevantes:\n- Timestamp: 2025-12-26 14:44:53\n- Selector: .swiper-button-next/.slick-next o button[aria-label*='next']\n- Error: element is not visible\n\nEvidencia:\n- Screenshot: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-B2C--f3b9e--Galeria-de-imagenes-navega-Desktop-Chrome/test-failed-1.png\n- Video: /Users/carlosa/Library/CloudStorage/OneDrive-HIBERUSITDEVELOPMENTSERVICES,S.L.U/HAIDA/test-results/web-e2e-ctb-basic-CTB-B2C--f3b9e--Galeria-de-imagenes-navega-Desktop-Chrome/video.webm\n\nEntorno:\nmcprod\nNavegadores:\nDesktop Chrome, iPhone 14"
