TEST_ID|TIPO_PRUEBA|COMPONENTE|MODULO|REQUISITO_ID|DESCRIPCION|PRECONDICIONES|PASOS|RESULTADO_ESPERADO|PRIORIDAD|RIESGO|ETIQUETA_AUTOMATIZACION|ESTADO
TC_AFI_AUTH_001|Smoke|Afiliats|Login|REQ-AFI-001|Acceso al portal afiliados con credenciales validas|Usuario afiliado activo.|1. Navegar a /afiliats/login 2. Ingresar email valido 3. Ingresar password valido 4. Click en Iniciar sesion|Usuario autenticado y redirigido al dashboard|P0|Alto|@afi @auth @smoke @desktop @ios @android|Generado
TC_AFI_AUTH_002|Unit|Afiliats|Login|REQ-AFI-002|Validar error por credenciales invalidas|Usuario afiliado activo.|1. Ir a login 2. Ingresar email valido 3. Password incorrecto 4. Enviar|Mensaje de error de credenciales|P1|Medio|@afi @auth @unit @desktop @ios @android|Generado
TC_AFI_AUTH_003|Recovery|Afiliats|PasswordReset|REQ-AFI-003|Recuperacion de password afiliado|Usuario no autenticado. Email registrado.|1. Click Olvide mi password 2. Ingresar email 3. Confirmar|Email de recuperacion enviado|P2|Medio|@afi @auth @recovery @desktop @ios @android|Generado
TC_AFI_DASH_001|Smoke|Afiliats|Dashboard|REQ-AFI-004|Dashboard carga con widgets principales|Usuario autenticado.|1. Iniciar sesion 2. Ver dashboard|Widgets visibles sin errores|P0|Alto|@afi @dashboard @smoke @desktop @ios @android|Generado
TC_AFI_PROD_001|E2E|Afiliats|Productos|REQ-AFI-005|Crear nuevo producto/oferta|Usuario autenticado con permisos.|1. Ir a productos 2. Click nuevo 3. Completar formulario 4. Guardar|Producto creado y visible en listado|P1|Alto|@afi @productos @e2e @desktop @ios @android|Generado
TC_AFI_PROD_002|Interface|Afiliats|Productos|REQ-AFI-006|Editar producto existente|Usuario autenticado con producto existente.|1. Abrir producto 2. Editar campo 3. Guardar|Cambios guardados|P1|Medio|@afi @productos @interface @desktop @ios @android|Generado
TC_AFI_PROD_003|Interface|Afiliats|Productos|REQ-AFI-007|Eliminar producto/oferta|Usuario autenticado con producto existente.|1. Seleccionar producto 2. Click eliminar 3. Confirmar|Producto eliminado|P2|Medio|@afi @productos @interface @desktop @ios @android|Generado
TC_AFI_AVAIL_001|Integration|Afiliats|Disponibilidad|REQ-AFI-008|Actualizar disponibilidad en calendario|Usuario autenticado.|1. Abrir calendario 2. Bloquear fecha 3. Guardar|Fecha marcada como no disponible|P1|Medio|@afi @cal @integration @desktop @ios @android|Generado
TC_AFI_AVAIL_002|Data Quality|Afiliats|Disponibilidad|REQ-AFI-009|Pricing por temporada se aplica|Usuario autenticado.|1. Editar precio temporada 2. Guardar 3. Ver reflejo|Precio actualizado|P2|Medio|@afi @cal @data @desktop @ios @android|Generado
TC_AFI_BOOK_001|Interface|Afiliats|Reservas|REQ-AFI-010|Listado de reservas con filtros|Usuario autenticado.|1. Abrir reservas 2. Aplicar filtro fecha|Listado filtrado correctamente|P2|Medio|@afi @bookings @interface @desktop @ios @android|Generado
TC_AFI_BOOK_002|Integration|Afiliats|Reservas|REQ-AFI-011|Detalle de reserva disponible|Usuario autenticado con reservas.|1. Abrir reserva 2. Ver detalle|Detalle muestra estado y cliente|P2|Medio|@afi @bookings @integration @desktop @ios @android|Generado
TC_AFI_REPORT_001|Performance|Afiliats|Reportes|REQ-AFI-012|Generar reporte sin timeout|Usuario autenticado.|1. Ir a reportes 2. Generar reporte mensual|Reporte generado en tiempo esperado|P2|Medio|@afi @report @performance @desktop @ios @android|Generado
TC_AFI_PROFILE_001|Interface|Afiliats|Perfil|REQ-AFI-013|Actualizar datos del perfil|Usuario autenticado.|1. Ir a perfil 2. Editar datos 3. Guardar|Datos actualizados|P2|Medio|@afi @profile @interface @desktop @ios @android|Generado
TC_AFI_SETTINGS_001|Security|Afiliats|Seguridad|REQ-AFI-014|Cambiar password con validacion|Usuario autenticado.|1. Ir a seguridad 2. Cambiar password 3. Guardar|Password actualizado|P1|Alto|@afi @security @desktop @ios @android|Generado
TC_AFI_ACCESS_001|Security|Afiliats|Roles|REQ-AFI-015|Control de acceso por roles|Usuario sin permisos.|1. Intentar acceder a gestion productos|Acceso denegado|P1|Alto|@afi @roles @security @desktop @ios @android|Generado
